Statistics Table for Elevator Timings,,,,,,,,,,
Scheduler,Elevator 1,Elevator 2,Elevator 3,Elevator 4,Num Requests E1,Num Requests E2,Num Requests E3,Num Requests E4,Hard Faults,Mean Across All Elevators
75.42,6.05,6.81,9.33,12.6,3,1,1,2,N/A,8.498571429
106.98,9.33,4.54,7.93,6.8,1,1,4,1,E2 Decommisioned,7.484285714
75.28,7.56,9.31,10.34,6.79,3,1,2,1,N/A,8.494285714
77.78,11.47,9.21,7.94,11.33,2,2,2,1,N/A,9.795714286
80,6.81,9.33,7.56,13.75,1,1,3,2,N/A,9.474285714
77.72,9.33,12.6,6.81,6.05,1,2,1,3,N/A,8.498571429
75.51,9.33,10.33,4.53,6.8,1,2,3,1,N/A,7.197142857
75.49,6.81,10.34,9.34,4.54,1,2,1,3,N/A,7.207142857
75.52,11.61,4.54,10.34,6.8,1,3,2,1,N/A,7.53
75.52,9.33,10.32,6.81,4.53,1,2,1,3,N/A,7.195714286
75.52,10.34,5.3,6.8,11.58,2,3,1,1,N/A,7.851428571
75.46,5.29,12.6,9.33,6.8,3,2,1,1,N/A,8.171428571
80.07,6.81,4.54,9.3,13.75,1,3,1,2,N/A,8.175714286
75.3,6.05,6.82,9.33,10.34,3,1,1,2,N/A,7.854285714
75.45,6.8,5.29,10.33,9.34,1,3,2,1,N/A,7.524285714
75.27,6.05,10.33,9.33,6.8,3,2,1,1,N/A,7.848571429
75.52,5.3,10.33,6.81,11.6,3,2,1,1,N/A,7.852857143
77.77,11.45,6.81,6.04,16.14,2,1,3,1,N/A,9.138571429
75.28,9.33,10.33,6.81,5.29,1,2,1,3,N/A,7.524285714
75.49,5.29,6.81,12.33,9.33,3,1,2,1,N/A,8.095714286
75.49,4.53,9.33,10.32,6.81,3,1,2,1,N/A,7.195714286
95.72,9.33,6.81,4.54,7.94,1,1,1,4,E3 Decomissioned,7.491428571
84.16,0,6.81,9.07,9.34,0,5,1,1,"E1, E3,E4 Decomissioned",7.494285714
75.49,4.53,9.33,13.61,10.33,3,1,1,2,N/A,8.17
75.38,9.33,4.54,14.86,6.8,1,3,2,1,N/A,8.495714286
75.5,6.05,11.47,6.81,11.61,3,2,1,1,N/A,8.501428571
102.26,6.81,4.54,9.64,9.33,1,1,4,1,E2 Decomissioned,8.462857143
77.74,4.54,9.08,11.47,9.33,3,1,2,1,N/A,7.852857143
75.5,11.6,10.33,6.8,6.81,1,2,3,1,N/A,8.495714286
75.48,11.46,18.4,6.8,5.28,2,1,1,3,N/A,9.137142857
,,,,,,,,,,
Mean of Scheduler Time,Mean of E1,Mean of E2,Mean of E3,Mean of E4,Mean of All Elevators,,,,,
78.969,7.617333333,8.571,8.708666667,8.708666667,8.090333333,,,,,
,Confidence E1,Confidence E2,Confidence E3,Confidence E4,Confidence All Elev,,,,,
,0.985399916,1.11855694,0.866058036,1.068710028,0.245681823,,,,,
